time,lat,lon,signal
0.0,41.503347,2.123068,True
0.06200003623962402,41.503473,2.123263,True
0.125,41.503473,2.123263,True
0.20300006866455078,41.503473,2.123263,True
0.26600003242492676,41.503473,2.123263,True
0.3280000686645508,41.503473,2.123263,True
0.39100003242492676,41.503473,2.123263,True
0.4530000686645508,41.503473,2.123263,True
0.5160000324249268,41.503473,2.123263,True
0.5780000686645508,41.503473,2.123263,True
0.6410000324249268,41.503473,2.123263,True
0.7030000686645508,41.503473,2.123263,True
0.7660000324249268,41.503473,2.123263,True
0.812000036239624,41.503473,2.123263,True
0.875,41.503473,2.123263,True
0.937000036239624,41.503473,2.123263,True
1.0160000324249268,41.503605,2.123443,True
1.0940001010894775,41.503605,2.123443,True
1.1560001373291016,41.503605,2.123443,True
1.2190001010894775,41.503605,2.123443,True
1.2810001373291016,41.503605,2.123443,True
1.3440001010894775,41.503605,2.123443,True
1.4060001373291016,41.503605,2.123443,True
1.4690001010894775,41.503605,2.123443,True
1.5310001373291016,41.503605,2.123443,True
1.5940001010894775,41.503605,2.123443,True
1.6560001373291016,41.503605,2.123443,True
1.7190001010894775,41.503605,2.123443,True
1.7810001373291016,41.503605,2.123443,True
1.8440001010894775,41.503605,2.123443,True
1.9060001373291016,41.503745,2.123612,True
1.9690001010894775,41.503745,2.123612,True
2.0940001010894775,41.503745,2.123612,True
2.171999931335449,41.503745,2.123612,True
2.2339999675750732,41.503745,2.123612,True
2.2810001373291016,41.503745,2.123612,True
2.3440001010894775,41.503745,2.123612,True
2.4060001373291016,41.503745,2.123612,True
2.4690001010894775,41.503745,2.123612,True
2.5310001373291016,41.503745,2.123612,True
2.5940001010894775,41.503745,2.123612,True
2.6560001373291016,41.503745,2.123612,True
2.7190001010894775,41.503745,2.123612,True
2.7810001373291016,41.503745,2.123612,True
2.8440001010894775,41.503745,2.123612,True
2.9060001373291016,41.503745,2.123612,True
2.9690001010894775,41.503745,2.123612,True
3.078000068664551,41.503905,2.123755,True
3.1410000324249268,41.503905,2.123755,True
3.2190001010894775,41.503905,2.123755,True
3.2810001373291016,41.503905,2.123755,True
3.3440001010894775,41.503905,2.123755,True
3.4060001373291016,41.503905,2.123755,True
3.4839999675750732,41.503905,2.123755,True
3.546999931335449,41.503905,2.123755,True
3.6089999675750732,41.503905,2.123755,True
3.671999931335449,41.503905,2.123755,True
3.7190001010894775,41.503905,2.123755,True
3.796999931335449,41.503905,2.123755,True
3.8440001010894775,41.503905,2.123755,True
3.9060001373291016,41.503905,2.123755,True
3.9690001010894775,41.50407,2.123882,True
4.031000137329102,41.50407,2.123882,True
4.108999967575073,41.50407,2.123882,True
4.171999931335449,41.50407,2.123882,True
4.233999967575073,41.50407,2.123882,True
4.296999931335449,41.50407,2.123882,True
4.358999967575073,41.50407,2.123882,True
4.421999931335449,41.50407,2.123882,True
4.483999967575073,41.50407,2.123882,True
4.546999931335449,41.50407,2.123882,True
4.608999967575073,41.50407,2.123882,True
4.671999931335449,41.50407,2.123882,True
4.733999967575073,41.50407,2.123882,True
4.796999931335449,41.50407,2.123882,True
4.858999967575073,41.504233,2.124013,True
4.921999931335449,41.504233,2.124013,True
5.0,41.504233,2.124013,True
5.108999967575073,41.504233,2.124013,True
5.171999931335449,41.504233,2.124013,True
5.25,41.504233,2.124013,True
5.312000036239624,41.504233,2.124013,True
5.375,41.504233,2.124013,True
5.437000036239624,41.504233,2.124013,True
5.5,41.504233,2.124013,True
5.562000036239624,41.504233,2.124013,True
5.625,41.504233,2.124013,True
5.687000036239624,41.504233,2.124013,True
5.75,41.504233,2.124013,True
5.812000036239624,41.504233,2.124013,True
5.875,41.504233,2.124013,True
5.937000036239624,41.504233,2.124013,True
6.016000032424927,41.504233,2.124013,True
6.078000068664551,41.504393,2.124147,True
6.141000032424927,41.504393,2.124147,True
6.203000068664551,41.504393,2.124147,True
6.281000137329102,41.504393,2.124147,True
6.3440001010894775,41.504393,2.124147,True
6.406000137329102,41.504393,2.124147,True
6.4690001010894775,41.504393,2.124147,True
6.531000137329102,41.504393,2.124147,True
6.578000068664551,41.504393,2.124147,True
6.641000032424927,41.504393,2.124147,True
6.703000068664551,41.504393,2.124147,True
6.766000032424927,41.504393,2.124147,True
6.828000068664551,41.504393,2.124147,True
6.891000032424927,41.504393,2.124147,True
6.953000068664551,41.50455,2.124283,True
7.031000137329102,41.50455,2.124283,True
7.108999967575073,41.50455,2.124283,True
7.171999931335449,41.50455,2.124283,True
7.233999967575073,41.50455,2.124283,True
7.296999931335449,41.50455,2.124283,True
7.358999967575073,41.50455,2.124283,True
7.421999931335449,41.50455,2.124283,True
7.483999967575073,41.50455,2.124283,True
7.546999931335449,41.50455,2.124283,True
7.608999967575073,41.50455,2.124283,True
7.671999931335449,41.50455,2.124283,True
7.733999967575073,41.50455,2.124283,True
7.796999931335449,41.50455,2.124283,True
7.858999967575073,41.50455,2.124283,True
7.921999931335449,41.50455,2.124283,False
7.983999967575073,41.50455,2.124283,False
8.07800006866455,41.50455,2.124283,False
8.141000032424927,41.50455,2.124283,False
8.20300006866455,41.50455,2.124283,False
8.29699993133545,41.50455,2.124283,False
8.391000032424927,41.50455,2.124283,False
8.469000101089478,41.50455,2.124283,False
8.54699993133545,41.50455,2.124283,False
8.67199993133545,41.50455,2.124283,False
8.733999967575073,41.50455,2.124283,False
8.79699993133545,41.50455,2.124283,False
8.858999967575073,41.50455,2.124283,False
8.92199993133545,41.50455,2.124283,False
9.0,41.50455,2.124283,False
9.062000036239624,41.50455,2.124283,False
9.125,41.50455,2.124283,False
